conv_num,shape_num,shape_name,time
1,6,pentagon,5.68991
1,6,pentagon,9.535203
1,5,triangle,13.525823
1,5,triangle,17.258557
1,5,triangle,21.477844
1,6,pentagon,25.015226
2,5,triangle,40.728836
2,5,triangle,44.704255
2,5,triangle,49.553413
3,8,moon,61.01562
3,8,moon,65.313413
4,1,circle,76.037634
1,7,trapezoid,81.6451
4,1,circle,83.659251
2,7,trapezoid,84.984726
4,1,circle,90.571009
2,4,star,92.740674
4,8,moon,92.81354
2,6,pentagon,96.649233
2,6,pentagon,112.229758
