capacity,seed,heuristic,n_orders,orders_completed,terminated_early,makespan_sec
5,134,Assignment First,13,8,1,100000.0
5,134,FIFO,13,13,0,67.0
5,134,Greedy,13,9,1,100000.0
5,134,Order Driven,13,3,1,100000.0
5,135,Assignment First,15,2,1,100000.0
5,135,FIFO,15,6,1,100000.0
5,135,Greedy,15,3,1,100000.0
5,135,Order Driven,15,2,1,100000.0
5,136,Assignment First,14,1,1,100000.0
5,136,FIFO,14,5,1,100000.0
5,136,Greedy,14,4,1,100000.0
5,136,Order Driven,14,3,1,100000.0
5,137,Assignment First,10,10,0,52.0
5,137,FIFO,10,10,0,60.0
5,137,Greedy,10,3,1,100000.0
5,137,Order Driven,10,6,1,100000.0
5,138,Assignment First,11,11,0,53.0
5,138,FIFO,11,4,1,100000.0
5,138,Greedy,11,3,1,100000.0
5,138,Order Driven,11,5,1,100000.0
5,139,Assignment First,10,10,0,62.0
5,139,FIFO,10,0,1,100000.0
5,139,Greedy,10,2,1,100000.0
5,139,Order Driven,10,2,1,100000.0
5,140,Assignment First,10,10,0,49.0
5,140,FIFO,10,10,0,48.0
5,140,Greedy,10,10,0,58.0
5,140,Order Driven,10,3,1,100000.0
5,141,Assignment First,14,14,0,75.0
5,141,FIFO,14,2,1,100000.0
5,141,Greedy,14,7,1,100000.0
5,141,Order Driven,14,6,1,100000.0
5,142,Assignment First,14,4,1,100000.0
5,142,FIFO,14,3,1,100000.0
5,142,Greedy,14,1,1,100000.0
5,142,Order Driven,14,2,1,100000.0
5,143,Assignment First,11,1,1,100000.0
5,143,FIFO,11,6,1,100000.0
5,143,Greedy,11,1,1,100000.0
5,143,Order Driven,11,7,1,100000.0
5,144,Assignment First,13,3,1,100000.0
5,144,FIFO,13,2,1,100000.0
5,144,Greedy,13,3,1,100000.0
5,144,Order Driven,13,5,1,100000.0
5,145,Assignment First,13,1,1,100000.0
5,145,FIFO,13,2,1,100000.0
5,145,Greedy,13,2,1,100000.0
5,145,Order Driven,13,5,1,100000.0
5,146,Assignment First,11,11,0,39.0
5,146,FIFO,11,5,1,100000.0
5,146,Greedy,11,6,1,100000.0
5,146,Order Driven,11,2,1,100000.0
5,147,Assignment First,14,4,1,100000.0
5,147,FIFO,14,2,1,100000.0
5,147,Greedy,14,1,1,100000.0
5,147,Order Driven,14,2,1,100000.0
5,148,Assignment First,13,13,0,80.0
5,148,FIFO,13,1,1,100000.0
5,148,Greedy,13,0,1,100000.0
5,148,Order Driven,13,3,1,100000.0
5,149,Assignment First,10,5,1,100000.0
5,149,FIFO,10,4,1,100000.0
5,149,Greedy,10,7,1,100000.0
5,149,Order Driven,10,10,0,42.0
7,100,Assignment First,11,11,0,44.0
7,100,FIFO,11,3,1,100000.0
7,100,Greedy,11,11,0,51.0
7,100,Order Driven,11,11,0,87.0
7,101,Assignment First,14,14,0,58.0
7,101,FIFO,14,5,1,100000.0
7,101,Greedy,14,3,1,100000.0
7,101,Order Driven,14,1,1,100000.0
7,102,Assignment First,11,6,1,100000.0
7,102,FIFO,11,3,1,100000.0
7,102,Greedy,11,3,1,100000.0
7,102,Order Driven,11,7,1,100000.0
7,103,Assignment First,15,2,1,100000.0
7,103,FIFO,15,15,0,65.0
7,103,Greedy,15,1,1,100000.0
7,103,Order Driven,15,4,1,100000.0
7,104,Assignment First,10,6,1,100000.0
7,104,FIFO,10,3,1,100000.0
7,104,Greedy,10,7,1,100000.0
7,104,Order Driven,10,3,1,100000.0
7,105,Assignment First,14,2,1,100000.0
7,105,FIFO,14,2,1,100000.0
7,105,Greedy,14,0,1,100000.0
7,105,Order Driven,14,3,1,100000.0
7,106,Assignment First,15,0,1,100000.0
7,106,FIFO,15,8,1,100000.0
7,106,Greedy,15,3,1,100000.0
7,106,Order Driven,15,3,1,100000.0
7,107,Assignment First,11,11,0,61.0
7,107,FIFO,11,2,1,100000.0
7,107,Greedy,11,11,0,94.0
7,107,Order Driven,11,1,1,100000.0
7,108,Assignment First,11,6,1,100000.0
7,108,FIFO,11,11,0,89.0
7,108,Greedy,11,4,1,100000.0
7,108,Order Driven,11,2,1,100000.0
7,109,Assignment First,12,6,1,100000.0
7,109,FIFO,12,2,1,100000.0
7,109,Greedy,12,8,1,100000.0
7,109,Order Driven,12,12,0,58.0
7,110,Assignment First,13,2,1,100000.0
7,110,FIFO,13,1,1,100000.0
7,110,Greedy,13,1,1,100000.0
7,110,Order Driven,13,13,0,66.0
7,111,Assignment First,11,0,1,100000.0
7,111,FIFO,11,11,0,66.0
7,111,Greedy,11,0,1,100000.0
7,111,Order Driven,11,4,1,100000.0
7,112,Assignment First,13,4,1,100000.0
7,112,FIFO,13,13,0,84.0
7,112,Greedy,13,0,1,100000.0
7,112,Order Driven,13,1,1,100000.0
7,113,Assignment First,10,4,1,100000.0
7,113,FIFO,10,1,1,100000.0
7,113,Greedy,10,2,1,100000.0
7,113,Order Driven,10,3,1,100000.0
7,114,Assignment First,11,4,1,100000.0
7,114,FIFO,11,5,1,100000.0
7,114,Greedy,11,3,1,100000.0
7,114,Order Driven,11,6,1,100000.0
7,115,Assignment First,12,3,1,100000.0
7,115,FIFO,12,3,1,100000.0
7,115,Greedy,12,4,1,100000.0
7,115,Order Driven,12,12,0,69.0
7,116,Assignment First,15,3,1,100000.0
7,116,FIFO,15,0,1,100000.0
7,116,Greedy,15,0,1,100000.0
7,116,Order Driven,15,2,1,100000.0
7,117,Assignment First,11,2,1,100000.0
7,117,FIFO,11,11,0,51.0
7,117,Greedy,11,2,1,100000.0
7,117,Order Driven,11,11,0,58.0
7,118,Assignment First,15,13,1,100000.0
7,118,FIFO,15,1,1,100000.0
7,118,Greedy,15,2,1,100000.0
7,118,Order Driven,15,3,1,100000.0
7,119,Assignment First,12,12,0,61.0
7,119,FIFO,12,12,0,47.0
7,119,Greedy,12,7,1,100000.0
7,119,Order Driven,12,12,0,48.0
7,120,Assignment First,14,1,1,100000.0
7,120,FIFO,14,1,1,100000.0
7,120,Greedy,14,3,1,100000.0
7,120,Order Driven,14,4,1,100000.0
7,121,Assignment First,10,10,0,39.0
7,121,FIFO,10,10,0,49.0
7,121,Greedy,10,10,0,48.0
7,121,Order Driven,10,10,0,46.0
7,122,Assignment First,14,3,1,100000.0
7,122,FIFO,14,1,1,100000.0
7,122,Greedy,14,4,1,100000.0
7,122,Order Driven,14,14,0,88.0
7,123,Assignment First,10,10,0,36.0
7,123,FIFO,10,10,0,35.0
7,123,Greedy,10,4,1,100000.0
